file,measure,pitch,fingering,part,midi,has_annotation,interval,abs_interval,measure_position,measure_length,measure_position_norm,hand_encoding,prev_fingering,next_fingering,is_black_key,is_step_motion,is_large_jump,octave,is_high_register,is_low_register,is_ascending,is_descending,finger_span,hand_position,in_scale_pattern,is_first_in_measure,is_last_in_measure,pp_speed_cost,pp_hand_stretch,pp_forbidden,pp_black_penalty,pp_prediction,pp_confidence
annotated_Piano7_candace_page2,4,E4,1.0,P1,64,True,3.0,3.0,6,7,0.8571428571428571,0,3.0,1.0,0,0,0,5,0,0,1,0,3.0,60.6,0,0,1,0.9090909090909091,1.0,0,1.0,3,0.03352036406849235
annotated_Piano7_candace_page2,5,A4,1.0,P1,69,True,5.0,5.0,0,6,0.0,0,1.0,3.0,0,0,0,5,0,0,1,0,5.0,60.6,0,1,0,0.9090909090909091,1.0,0,1.0,1,0.20274379265020992
annotated_Piano7_candace_page2,5,C#5,3.0,P1,73,True,4.0,4.0,1,6,0.16666666666666666,0,1.0,1.0,1,0,0,6,1,0,1,0,4.0,63.8,0,0,0,0.8264462809917354,1.0,0,1.1,1,0.08003694475953838
annotated_Piano7_candace_page2,5,G#4,1.0,P1,68,True,-5.0,5.0,2,6,0.3333333333333333,0,3.0,5.0,1,0,0,5,0,0,0,1,5.0,67.0,0,0,0,1.8181818181818181,1.0,0,0.5,3,0.3803630669439493
annotated_Piano7_candace_page2,5,A3,5.0,P1,57,True,-11.0,11.0,3,6,0.5,0,1.0,1.0,0,0,1,4,0,1,0,1,11.0,66.2,0,0,0,1.5625,1.0,0,1.0,1,0.3393142093843966
annotated_Piano7_candace_page2,5,E4,1.0,P1,64,True,7.0,7.0,4,6,0.6666666666666666,0,5.0,3.0,0,0,0,5,0,0,1,0,7.0,66.2,0,0,0,0.9090909090909091,1.0,0,1.0,5,0.27514618106195654
annotated_Piano7_candace_page2,5,C#4,3.0,P1,61,True,-3.0,3.0,5,6,0.8333333333333334,0,1.0,1.0,1,0,0,5,0,0,0,1,3.0,64.6,0,0,1,0.8264462809917354,1.0,0,1.1,1,0.4409722222222222
annotated_Piano7_candace_page2,6,A4,1.0,P1,69,True,8.0,8.0,0,11,0.0,0,3.0,3.0,0,0,1,5,0,0,1,0,8.0,63.8,0,1,0,1.1363636363636362,0.4166666666666667,0,1.0,3,0.45419772592232477
annotated_Piano7_candace_page2,6,C#5,3.0,P1,73,True,4.0,4.0,1,11,0.09090909090909091,0,1.0,1.0,1,0,0,6,1,0,1,0,4.0,64.8,0,0,0,0.8264462809917354,1.0,0,1.1,1,0.160182203046508
annotated_Piano7_candace_page2,6,G#4,1.0,P1,68,True,-5.0,5.0,2,11,0.18181818181818182,0,3.0,1.0,1,0,0,5,0,0,0,1,5.0,67.0,0,0,0,1.8181818181818181,1.0,0,0.5,3,0.3391594757737808
annotated_Piano7_candace_page2,6,C#5,1.0,P1,73,True,5.0,5.0,3,11,0.2727272727272727,0,1.0,2.0,1,0,0,6,1,0,1,0,5.0,68.8,0,0,0,1.8181818181818181,1.0,0,0.5,1,0.0
annotated_Piano7_candace_page2,6,G#4,2.0,P1,68,True,-5.0,5.0,4,11,0.36363636363636365,0,1.0,5.0,1,0,0,5,0,0,0,1,5.0,70.2,0,0,0,1.0,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page2,6,A3,5.0,P1,57,True,-11.0,11.0,5,11,0.45454545454545453,0,2.0,1.0,0,0,1,4,0,1,0,1,11.0,67.8,0,0,0,1.5625,0.9166666666666666,0,1.0,2,0.29463501998595587
annotated_Piano7_candace_page2,6,E4,1.0,P1,64,True,7.0,7.0,6,11,0.5454545454545454,0,5.0,3.0,0,0,0,5,0,0,1,0,7.0,66.0,0,0,0,0.9090909090909091,0.9166666666666666,0,1.0,5,0.36731339689227394
annotated_Piano7_candace_page2,6,C#4,3.0,P1,61,True,-3.0,3.0,7,11,0.6363636363636364,0,1.0,5.0,1,0,0,5,0,0,0,1,3.0,64.6,0,0,0,0.8264462809917354,1.0,0,1.1,1,0.0
annotated_Piano7_candace_page2,6,F3,5.0,P1,53,True,-8.0,8.0,8,11,0.7272727272727273,0,3.0,1.0,0,0,1,4,0,1,0,1,8.0,60.6,0,0,0,1.5625,1.0,0,1.0,3,0.0
annotated_Piano7_candace_page2,6,C4,1.0,P1,60,True,7.0,7.0,9,11,0.8181818181818182,0,5.0,3.0,0,0,0,5,0,0,1,0,7.0,59.0,0,0,0,0.9090909090909091,1.0,0,1.0,5,0.0
annotated_Piano7_candace_page2,6,A3,3.0,P1,57,True,-3.0,3.0,10,11,0.9090909090909091,0,1.0,1.0,0,0,0,4,0,1,0,1,3.0,59.0,0,0,1,0.9090909090909091,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page2,7,A#4,1.0,P1,70,True,13.0,13.0,0,7,0.0,0,3.0,4.0,1,0,1,5,0,0,1,0,13.0,60.2,0,1,0,2.2727272727272725,1.0,0,0.5,3,0.1822328678946329
annotated_Piano7_candace_page2,7,D5,4.0,P1,74,True,4.0,4.0,1,7,0.14285714285714285,0,1.0,1.0,0,0,0,6,1,0,1,0,4.0,62.8,0,0,0,1.1111111111111112,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page2,7,A4,1.0,P1,69,True,-5.0,5.0,2,7,0.2857142857142857,0,4.0,3.0,0,0,0,5,0,0,0,1,5.0,66.0,0,0,0,0.9090909090909091,1.0,0,1.0,4,0.0
annotated_Piano7_candace_page2,7,C5,3.0,P1,72,True,3.0,3.0,3,7,0.42857142857142855,0,1.0,5.0,0,0,0,6,0,0,1,0,3.0,68.4,0,0,0,0.9090909090909091,1.0,0,1.0,1,0.0
annotated_Piano7_candace_page2,7,A#3,5.0,P1,58,True,-14.0,14.0,4,7,0.5714285714285714,0,3.0,1.0,1,0,1,4,0,1,0,1,14.0,68.6,0,0,0,2.604166666666667,1.0,0,0.6,3,0.03921259160229762
annotated_Piano7_candace_page2,7,F4,1.0,P1,65,True,7.0,7.0,5,7,0.7142857142857143,0,5.0,3.0,0,0,0,5,0,0,1,0,7.0,67.6,0,0,0,0.9090909090909091,0.8333333333333334,0,1.0,5,0.06239787581699385
annotated_Piano7_candace_page2,7,D4,3.0,P1,62,True,-3.0,3.0,6,7,0.8571428571428571,0,1.0,1.0,0,0,0,5,0,0,0,1,3.0,65.2,0,0,1,0.9090909090909091,1.0,0,1.0,1,0.1120147553971087
annotated_Piano7_candace_page2,8,A4,1.0,P1,69,True,7.0,7.0,0,6,0.0,0,3.0,1.0,0,0,0,5,0,0,1,0,7.0,65.2,0,1,0,0.9090909090909091,1.0,0,1.0,3,0.20481778570013887
annotated_Piano7_candace_page2,8,A#4,1.0,P1,70,True,1.0,1.0,1,6,0.16666666666666666,0,1.0,3.0,1,1,0,5,0,0,1,0,1.0,64.8,0,0,0,1.8181818181818181,1.0,0,0.5,1,0.0
annotated_Piano7_candace_page2,8,C5,3.0,P1,72,True,2.0,2.0,2,6,0.3333333333333333,0,1.0,5.0,0,1,0,6,0,0,1,0,2.0,67.6,0,0,0,0.9090909090909091,1.0,0,1.0,1,0.0
