file,measure,pitch,fingering,part,midi,has_annotation,interval,abs_interval,measure_position,measure_length,measure_position_norm,hand_encoding,prev_fingering,next_fingering,is_black_key,is_step_motion,is_large_jump,octave,is_high_register,is_low_register,is_ascending,is_descending
annotated_Piano7_candace_page2,3,F3,5.0,P1,53,True,-8.0,8.0,7,10,0.7,0,3.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,3,C4,1.0,P1,60,True,7.0,7.0,8,10,0.8,0,5.0,3.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,3,A3,3.0,P1,57,True,-3.0,3.0,9,10,0.9,0,1.0,3.0,0,0,0,4,0,1,0,1
annotated_Piano7_candace_page2,4,E5,3.0,P1,76,True,19.0,19.0,0,7,0.0,0,3.0,1.0,0,0,1,6,1,0,1,0
annotated_Piano7_candace_page2,4,C#5,1.0,P1,73,True,-3.0,3.0,1,7,0.14285714285714285,0,3.0,1.0,1,0,0,6,1,0,0,1
annotated_Piano7_candace_page2,4,A4,1.0,P1,69,True,-4.0,4.0,2,7,0.2857142857142857,0,1.0,1.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,4,A3,1.0,P1,57,True,-12.0,12.0,3,7,0.42857142857142855,0,1.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,4,E3,1.0,P1,52,True,-5.0,5.0,4,7,0.5714285714285714,0,1.0,3.0,0,0,0,4,0,1,0,1
annotated_Piano7_candace_page2,4,C#4,3.0,P1,61,True,9.0,9.0,5,7,0.7142857142857143,0,1.0,1.0,1,0,1,5,0,0,1,0
annotated_Piano7_candace_page2,4,E4,1.0,P1,64,True,3.0,3.0,6,7,0.8571428571428571,0,3.0,1.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,5,A4,1.0,P1,69,True,5.0,5.0,0,6,0.0,0,1.0,3.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,5,C#5,3.0,P1,73,True,4.0,4.0,1,6,0.16666666666666666,0,1.0,1.0,1,0,0,6,1,0,1,0
annotated_Piano7_candace_page2,5,G#4,1.0,P1,68,True,-5.0,5.0,2,6,0.3333333333333333,0,3.0,5.0,1,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,5,A3,5.0,P1,57,True,-11.0,11.0,3,6,0.5,0,1.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,5,E4,1.0,P1,64,True,7.0,7.0,4,6,0.6666666666666666,0,5.0,3.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,5,C#4,3.0,P1,61,True,-3.0,3.0,5,6,0.8333333333333334,0,1.0,1.0,1,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,6,A4,1.0,P1,69,True,8.0,8.0,0,11,0.0,0,3.0,3.0,0,0,1,5,0,0,1,0
annotated_Piano7_candace_page2,6,C#5,3.0,P1,73,True,4.0,4.0,1,11,0.09090909090909091,0,1.0,1.0,1,0,0,6,1,0,1,0
annotated_Piano7_candace_page2,6,G#4,1.0,P1,68,True,-5.0,5.0,2,11,0.18181818181818182,0,3.0,1.0,1,0,0,5,0,0,0,1
